A pilot study examining a ketogenic diet as an adjunct therapy in college students with major depressive disorder	Translational Psychiatry
Glucagon-like Peptide-1 receptor agonists as emerging therapeutics in bipolar disorder: a narrative review of preclinical and clinical evidence	Molecular Psychiatry
Mental health in Californian Jews before and after October 7, 2023.	Psychological Trauma-Theory Research Practice and Policy
Perceived Chronic Stress prior to SARS-CoV-2 Infection Predicts Ongoing Symptomatic COVID-19: A Prospective Cohort Study	Psychotherapy and Psychosomatics
ANK3 as a Novel Genetic Biomarker for Liafensine in Treatment-Resistant Depression	JAMA Psychiatry
Attention‐deficit/hyperactivity disorder (ADHD) in adults: evidence base, uncertainties and controversies	World Psychiatry
A pragmatic randomized controlled trial of cognitive therapy for post‐traumatic stress disorder in children and adolescents exposed to multiple trauma	World Psychiatry
High-Intensity Exercise and Hippocampal Integrity in Adults With Cannabis Use Disorder	JAMA Psychiatry
Incidence of gynecological cancers following prolactin‐increasing antipsychotic use: a population cohort study	World Psychiatry
From Static to Dynamic Prediction of Suicide Risk	JAMA Psychiatry
