1	A pilot study examining a ketogenic diet as an adjunct therapy in college students with major depressive disorder	Translational Psychiatry
2	Glucagon-like Peptide-1 receptor agonists as emerging therapeutics in bipolar disorder: a narrative review of preclinical and clinical evidence	Molecular Psychiatry
3	Mental health in Californian Jews before and after October 7, 2023.	Psychological Trauma-Theory Research Practice and Policy
4	Perceived Chronic Stress prior to SARS-CoV-2 Infection Predicts Ongoing Symptomatic COVID-19: A Prospective Cohort Study	Psychotherapy and Psychosomatics
5	ANK3 as a Novel Genetic Biomarker for Liafensine in Treatment-Resistant Depression	JAMA Psychiatry
6	Attention‐deficit/hyperactivity disorder (ADHD) in adults: evidence base, uncertainties and controversies	World Psychiatry
7	A pragmatic randomized controlled trial of cognitive therapy for post‐traumatic stress disorder in children and adolescents exposed to multiple trauma	World Psychiatry
8	High-Intensity Exercise and Hippocampal Integrity in Adults With Cannabis Use Disorder	JAMA Psychiatry
9	Incidence of gynecological cancers following prolactin‐increasing antipsychotic use: a population cohort study	World Psychiatry
10	National Trends in Inpatient Psychiatric Bed Supply, 2011 to 2023	JAMA Psychiatry
